idx,file,label,cls,group,part
0,00000.png,1,ischemic,0,train
1,00001.png,1,ischemic,1,train
2,00002.png,1,ischemic,2,train
3,00003.png,1,ischemic,3,val
4,00004.png,1,ischemic,4,train
5,00005.png,1,ischemic,5,train
6,00006.png,1,ischemic,6,train
7,00007.png,1,ischemic,7,train
8,00008.png,1,ischemic,8,train
9,00009.png,1,ischemic,9,train
10,00010.png,1,ischemic,10,test
11,00011.png,1,ischemic,11,train
12,00012.png,1,ischemic,12,test
13,00013.png,1,ischemic,13,train
14,00014.png,1,ischemic,14,train
15,00015.png,1,ischemic,15,train
16,00016.png,1,ischemic,16,train
17,00017.png,1,ischemic,321,test
18,00018.png,1,ischemic,17,val
19,00019.png,1,ischemic,18,train
20,00020.png,1,ischemic,19,train
21,00021.png,1,ischemic,20,test
22,00022.png,1,ischemic,21,test
23,00023.png,1,ischemic,22,train
24,00024.png,1,ischemic,23,test
25,00025.png,1,ischemic,24,train
26,00026.png,1,ischemic,25,val
27,00027.png,1,ischemic,26,test
28,00028.png,1,ischemic,27,train
29,00029.png,1,ischemic,28,test
30,00030.png,1,ischemic,29,test
31,00031.png,1,ischemic,30,test
32,00032.png,1,ischemic,31,val
33,00033.png,1,ischemic,32,train
34,00034.png,1,ischemic,33,train
35,00035.png,1,ischemic,34,train
36,00036.png,1,ischemic,417,val
37,00037.png,1,ischemic,35,test
38,00038.png,1,ischemic,36,train
39,00039.png,1,ischemic,37,train
40,00040.png,1,ischemic,38,train
41,00041.png,1,ischemic,39,val
42,00042.png,1,ischemic,558,train
43,00043.png,1,ischemic,40,val
44,00044.png,1,ischemic,41,train
45,00045.png,1,ischemic,42,train
46,00046.png,1,ischemic,43,test
47,00047.png,1,ischemic,44,val
48,00048.png,1,ischemic,45,train
49,00049.png,1,ischemic,46,test
50,00050.png,1,ischemic,47,val
51,00051.png,1,ischemic,48,train
52,00052.png,1,ischemic,49,train
53,00053.png,1,ischemic,50,train
54,00054.png,1,ischemic,51,train
55,00055.png,1,ischemic,52,train
56,00056.png,1,ischemic,53,train
57,00057.png,1,ischemic,54,train
58,00058.png,1,ischemic,55,train
59,00059.png,1,ischemic,56,train
60,00060.png,1,ischemic,57,train
61,00061.png,1,ischemic,58,train
62,00062.png,1,ischemic,59,train
63,00063.png,1,ischemic,60,train
64,00064.png,1,ischemic,61,train
65,00065.png,1,ischemic,62,train
66,00066.png,1,ischemic,63,train
67,00067.png,1,ischemic,64,test
68,00068.png,1,ischemic,65,test
69,00069.png,1,ischemic,11,train
70,00070.png,1,ischemic,66,train
71,00071.png,1,ischemic,67,test
